candidate_id	unified_qc397_geometry_rank	selection_channel	reason	static_review_status
NODE1GEN_050756_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_ekg_L_bb064_mpn01_arm_P3_ekg_L_backbone_P3_ekg_L_bb064_status_NEEDS_RF2_AND_DOCKING	115	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_028330_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_ekg_L_bb282_mpn10_arm_P2_ekg_L_backbone_P2_ekg_L_bb282_status_NEEDS_RF2_AND_DOCKING	116	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0134__00713	117	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_170125_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__0F2A6AA8F19ABF12	120	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_189103_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__A706AC7FB01ECDF0	121	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_183470_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9DB85D85059BFB30	122	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_231182_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9A226BEE833FC330	123	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_120690_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qrg_L_bb346_mpn06_arm_P5_qrg_L_backbone_P5_qrg_L_bb346_status_NEEDS_RF2_AND_DOCKING	124	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_052893_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_ekg_L_bb249_mpn04_arm_P3_ekg_L_backbone_P3_ekg_L_bb249_status_NEEDS_RF2_AND_DOCKING	125	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_163668_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__4E7D65CDFA6EC5DF	126	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_243115_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__657F2DE934F0EC22	127	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_165911_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__C659D7155AF93E4F	128	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_002915_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_ekg_L_bb245_mpn05_arm_P1_ekg_L_backbone_P1_ekg_L_bb245_status_NEEDS_RF2_AND_DOCKING	129	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_061921_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qkg_L_bb308_mpn07_arm_P3_qkg_L_backbone_P3_qkg_L_bb308_status_NEEDS_RF2_AND_DOCKING	130	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_077456_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb209_mpn08_arm_P4_ekg_L_backbone_P4_ekg_L_bb209_status_NEEDS_RF2_AND_DOCKING	131	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_176983_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__CADA1C383CFF3444	132	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0108__00054	133	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0188__00364	134	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_154219_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__584FFC86F5EDA3D3	135	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_288837_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__D733E098C5876CB6	136	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_178939_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__FE5362197697D410	138	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_151940_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__BA9A274B74A117A6	139	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_144381_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb233_mpn08_arm_P6_qrg_L_backbone_P6_qrg_L_bb233_status_NEEDS_RF2_AND_DOCKING	140	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_033467_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb011_mpn01_arm_P2_qkg_L_backbone_P2_qkg_L_bb011_status_NEEDS_RF2_AND_DOCKING	141	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_221956_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__509D0D64EB2171DC	142	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_051893_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_ekg_L_bb163_mpn10_arm_P3_ekg_L_backbone_P3_ekg_L_bb163_status_NEEDS_RF2_AND_DOCKING	143	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_271432_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__40026EC4686BF99A	144	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_126149_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb096_mpn04_arm_P6_ekg_L_backbone_P6_ekg_L_bb096_status_NEEDS_RF2_AND_DOCKING	145	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_201531_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__3F954E5AB328112B	146	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
