job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_GEN__C0411__3820751FE425B7E8_8x6b_s917_0751c3371424	V29_GEN__C0411__3820751FE425B7E8	8x6b	917	0751c3371424cbcfbea83aa643cbf374902d583d593e281ba48c3ae73b7b4a98
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00866__C_CROSS__H3__B05__M01_9e6y_s917_075fde8678fc	V29_RF__RFV1__PLDNANO_VHH_00866__C_CROSS__H3__B05__M01	9e6y	917	075fde8678fc9ee59332c3a74755166a6bdcf34b02747c6cee3cc13c365d510d
CANDIDATE_V29_GEN__C0418__0236127BE847A6C9_9e6y_s1931_0760a3638b6a	V29_GEN__C0418__0236127BE847A6C9	9e6y	1931	0760a3638b6ae08939afb958a93a5c1121f4a2e002cee6be9486ccf6cb1f1587
CANDIDATE_V29_GEN__C0196__5704164DA10C6765_9e6y_s1931_076754a9bd98	V29_GEN__C0196__5704164DA10C6765	9e6y	1931	076754a9bd989aa8ba9fac7f305f56ab4a6579b6e2ca7db166f3c964700179f9
CANDIDATE_V29_GEN__C0030__6DA309BE4E6D1C18_8x6b_s917_076c7bb81898	V29_GEN__C0030__6DA309BE4E6D1C18	8x6b	917	076c7bb81898776470c97836c88d51eda02e3378c956c2201d120e40e7e6f43b
CANDIDATE_V29_GEN__C0048__1EF78DFEB6809D98_8x6b_s917_076eff85930c	V29_GEN__C0048__1EF78DFEB6809D98	8x6b	917	076eff85930c877dff5edf902ff00f5681dbfdb101bd999d1744214c9541dfcc
CANDIDATE_V29_GEN__C0146__05629CDD0D2B79C1_8x6b_s917_0773b3aa8bd7	V29_GEN__C0146__05629CDD0D2B79C1	8x6b	917	0773b3aa8bd718a12aafea37db18eaed40c77d944cef2574e854a89465424d53
CANDIDATE_V29_GEN__C0348__3D0A01D98AD67D47_8x6b_s917_0776eb66a5ab	V29_GEN__C0348__3D0A01D98AD67D47	8x6b	917	0776eb66a5ab4048c39c6e14daa81c12ff2bb3c648d1b039091979a530e72c8c
CANDIDATE_V29_GEN__C0248__5C4E946B061A4E69_8x6b_s917_0779b9ed9387	V29_GEN__C0248__5C4E946B061A4E69	8x6b	917	0779b9ed9387214649aeeb44beec4a3ae968b95db7e888b4e78fd906e0d9d6de
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00692__B_LOWER__H3__B07__M01_9e6y_s917_077c98e2b15d	V29_RF__RFV1__PLDNANO_VHH_00692__B_LOWER__H3__B07__M01	9e6y	917	077c98e2b15de9c287826978e890b40fbce8ba451a8f1de4e18854ba7d77f0c6
CANDIDATE_V29_GEN__C0007__8D53B9AD9DFC80FE_8x6b_s917_077ebd4622b7	V29_GEN__C0007__8D53B9AD9DFC80FE	8x6b	917	077ebd4622b79e26c9c5e4770b30720c986f7501e8b8d62c3d9437504a057cbc
CANDIDATE_V29_GEN__C0106__A5712113228184BF_9e6y_s1931_0793e4b376ad	V29_GEN__C0106__A5712113228184BF	9e6y	1931	0793e4b376ada361de2133519f3e1122fe27dbff60321133dd262a2d9d5ec8da
