Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0019__00130	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00132	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00159	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00133	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00135	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00401	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00400	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00152	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00369	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00277	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00021	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00161	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00505	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00160	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00143	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00147	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00147	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00146	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00147	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00148	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00149	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00151	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00152	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00153	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00168	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00593	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00156	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00157	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00158	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00195	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00212	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00161	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00161	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00162	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00164	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00194	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00165	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00167	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00497	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00528	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00188	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00559	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00341	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00076	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00202	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00620	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00193	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00175	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00178	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00181	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00184	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00184	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00185	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00202	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00725	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00188	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00189	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00191	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00240	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00252	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00193	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00193	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00194	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00196	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00232	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00198	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00200	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00598	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00728	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00222	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00772	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00402	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00139	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00240	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00723	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00227	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00207	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00213	pvrig_8x6b_chainB
