Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0037__00278	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00349	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00356	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00278	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00276	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00277	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00279	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00330	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00285	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00284	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00808	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00066	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00314	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00284	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00564	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00295	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00343	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0083__00009	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00319	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00290	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00299	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00296	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00293	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00295	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00301	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00296	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00300	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00301	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00300	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00322	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00068	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00304	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00305	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00311	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00388	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00399	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00313	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00308	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00309	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00311	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00367	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00317	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00316	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00872	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00116	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00354	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00424	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00626	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00382	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00379	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0083__00075	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00355	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00322	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00332	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00331	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00325	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00327	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00333	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00328	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00333	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00334	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00332	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00360	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00100	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00336	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00338	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00344	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00429	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00442	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00347	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00340	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00341	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00344	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00407	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00351	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00348	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0100__00017	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00166	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00392	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00583	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00683	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00440	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00415	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0083__00124	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00391	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00354	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00366	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00368	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00357	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00360	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00366	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00360	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00365	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00367	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00364	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00396	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00132	pvrig_8x6b_chainB
