timestamp,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_pct,power_draw_w
2026-07-10T10:48:58+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 47.02
2026-07-10T10:49:00+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.05
2026-07-10T10:49:02+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 47.20
2026-07-10T10:49:04+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.00
2026-07-10T10:49:06+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.12
2026-07-10T10:49:08+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.99
2026-07-10T10:49:11+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 47.07
2026-07-10T10:49:13+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.30
2026-07-10T10:49:15+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 2, 46.92
2026-07-10T10:49:17+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 47.07
2026-07-10T10:49:19+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.85
2026-07-10T10:49:21+08:00,NVIDIA GeForce RTX 5080, 5985, 16303, 1, 46.77
2026-07-10T10:49:23+08:00,NVIDIA GeForce RTX 5080, 6300, 16303, 2, 47.35
2026-07-10T10:49:25+08:00,NVIDIA GeForce RTX 5080, 6428, 16303, 2, 47.51
2026-07-10T10:49:30+08:00,NVIDIA GeForce RTX 5080, 6430, 16303, 13, 50.84
2026-07-10T10:49:32+08:00,NVIDIA GeForce RTX 5080, 6430, 16303, 1, 47.41
2026-07-10T10:49:34+08:00,NVIDIA GeForce RTX 5080, 6490, 16303, 2, 47.38
2026-07-10T10:49:36+08:00,NVIDIA GeForce RTX 5080, 6564, 16303, 14, 55.10
2026-07-10T10:49:38+08:00,NVIDIA GeForce RTX 5080, 6564, 16303, 1, 47.29
2026-07-10T10:49:40+08:00,NVIDIA GeForce RTX 5080, 6564, 16303, 1, 47.16
2026-07-10T10:49:43+08:00,NVIDIA GeForce RTX 5080, 6564, 16303, 2, 47.21
2026-07-10T10:49:45+08:00,NVIDIA GeForce RTX 5080, 6574, 16303, 2, 47.49
2026-07-10T10:49:47+08:00,NVIDIA GeForce RTX 5080, 6644, 16303, 5, 47.87
2026-07-10T10:49:49+08:00,NVIDIA GeForce RTX 5080, 6646, 16303, 11, 56.79
2026-07-10T10:49:51+08:00,NVIDIA GeForce RTX 5080, 6646, 16303, 1, 47.29
2026-07-10T10:49:53+08:00,NVIDIA GeForce RTX 5080, 6646, 16303, 1, 46.92
