job_id	own_model_count	rli_model_count	common_model_count	model_jaccard	model_set_exact
CANDIDATE_V29_GEN__C0074__E5B691E795945DF3_9e6y_s917_0e7f44046913	8	10	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0074__FE6BC49948D6B01D_8x6b_s917_0bc5f0dec773	10	9	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0074__FE6BC49948D6B01D_9e6y_s917_12caabc7b40f	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0075__229EE07C4951BFB6_9e6y_s917_1621e503f6d3	10	7	6	0.5454545454545454	false
CANDIDATE_V29_GEN__C0075__3727AB00B6C84410_9e6y_s917_19936403e942	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0075__50C3C9D8144AFFDE_8x6b_s917_0ad764687b7b	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0075__50C3C9D8144AFFDE_9e6y_s917_0fe0fbe1b4f4	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0075__5FA4FB2C4A32463C_8x6b_s917_1755bab0b7e3	6	4	4	0.6666666666666666	false
CANDIDATE_V29_GEN__C0075__7CEEC67C94812E6F_8x6b_s917_0cc9c2daf35d	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0075__90BF25C4D0A8A737_9e6y_s917_15e772cebb1e	9	10	7	0.5833333333333334	false
CANDIDATE_V29_GEN__C0075__C5DBB340898F2515_8x6b_s917_21e379ab0a1c	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0075__CB8B397BF78BC1E3_8x6b_s917_1554bb3f1bcc	9	10	7	0.5833333333333334	false
CANDIDATE_V29_GEN__C0075__F01BEE495C96C615_9e6y_s917_1e88935fd849	7	10	4	0.3076923076923077	false
CANDIDATE_V29_GEN__C0075__F999945B6653FBD2_8x6b_s917_129e2fd63d06	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0076__26C49B179B35422E_9e6y_s917_17196f54d680	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0076__3546C5F8FE246E3F_8x6b_s917_2102eb085b11	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0076__9C3D45DDE487818E_8x6b_s917_19e44e429727	10	8	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0076__D8F09FABE435704A_8x6b_s917_14ec7309b25b	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0076__D99C6C754A47F424_8x6b_s917_22977c3dfcf4	10	8	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0076__F3325CDF435550A4_8x6b_s917_140b2a47618d	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0079__1EDEE43F41E4527C_8x6b_s917_13a683bfb456	8	8	5	0.45454545454545453	false
CANDIDATE_V29_GEN__C0079__436256C2FE4F70A4_9e6y_s917_0e8fd228cf35	4	5	1	0.125	false
CANDIDATE_V29_GEN__C0079__BABA6ABD926F9272_9e6y_s917_212c12f7bc18	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0079__E4421EA1ED75F70B_8x6b_s917_17fc97241f58	8	7	7	0.875	false
CANDIDATE_V29_GEN__C0079__E9368A0C06DEBEFA_9e6y_s917_17876b4a312e	10	9	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0079__ECCC26AC1B30D025_8x6b_s917_108074b303fe	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0079__F895179C5E33947E_9e6y_s917_17c152624cf9	6	6	5	0.7142857142857143	false
CANDIDATE_V29_GEN__C0086__196A084B634F4C80_9e6y_s917_11b45334792b	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0086__238B76E708A64F3E_9e6y_s917_0af917f5efd8	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0086__48E5A666D10D07A5_8x6b_s917_1b4430224216	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0086__528A6E90C5BAEFBE_9e6y_s917_0ee7ef812d30	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0086__5FA5BAEE1AC5E922_8x6b_s917_1ee73429a167	9	10	9	0.9	false
CANDIDATE_V29_GEN__C0086__63E5F56EB910FE42_9e6y_s917_1ab60d2b9f8c	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0086__AE72EB115D27313B_8x6b_s917_21b8d81e4d16	10	9	7	0.5833333333333334	false
CANDIDATE_V29_GEN__C0086__B83BC6DB6D0FF54D_9e6y_s917_10e5fc9dd1a0	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0086__DB3DA8E0C800F7EB_8x6b_s917_0a92a75195e5	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0086__EA0983C151FF852F_8x6b_s917_1b69abae7ae2	9	10	5	0.35714285714285715	false
CANDIDATE_V29_GEN__C0086__EE0DA026DDDDA936_8x6b_s917_21d63b8c0c63	9	9	9	1.0	true
CANDIDATE_V29_GEN__C0090__00279153CE83F8BA_9e6y_s917_18a67ffa9ef3	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0090__5FC34DBAF2D4F6C2_8x6b_s917_1db56ec50578	9	6	3	0.25	false
CANDIDATE_V29_GEN__C0090__794A6CF27EA7F167_8x6b_s917_168072200c5d	10	10	7	0.5384615384615384	false
