selection_order	node_index	source_shard	source_shard_selection_rank	release_rank	candidate_id	source_candidate_row_sha256	source_eight_job_ids_sha256	selected_four_job_ids_sha256
25	0	0	25	833	NODE1GEN_281076_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__ED10D570FBBE895B	dcc1a1c370110982c198d09a1840750ca707779682fa922188c3d3baa1f578aa	7470b2a50f66d2ca972c26db5a8384c052d102b0b5d2d06b606c8e9e35389e69	0f587628cfbbf081864a9564f1a72ae505ddf35e29b16ca0b821cdfc4f5e1474
26	0	0	26	841	NODE1GEN_043158_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qrg_L_bb125_mpn10_arm_P2_qrg_L_backbone_P2_qrg_L_bb125_status_NEEDS_RF2_AND_DOCKING	d6182cd0a80c4b4194c95402f2353e6f41b3b3c0e18c9842a2ea648a6a2cee56	ad5ad609b76121038ae593f37bb613a1682725c788a476bb556820b08d248027	70dfa36a8a58a6566f5e73bfc0b678685f1d0793d6070f1507758d82e4cde93c
27	0	0	27	849	NODE1GEN_136120_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qkg_L_bb240_mpn06_arm_P6_qkg_L_backbone_P6_qkg_L_bb240_status_NEEDS_RF2_AND_DOCKING	19dd502299172f35d28a0a06849875bbe62ecdb05d7a12691eef9c3ea0cea04d	45ff1ad15e1a37bf6852fe11b1e502d7ee2790dc248ad3dbaf69bfad97e8c431	bf7b0133f28431c5661d10b128f1efd3a6266e9d24bb15afb9a2a48e9ee5f692
28	0	0	28	857	NODE1GEN_163063_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__5E775CACA7C5603E	acb285f3b9879782538337b5f4043ceb1dd596bec334bfeb0ab9bfaf10974dbe	c2143789f636403d6835a4c81743e6d4f43ad44ea08b46cce70a0344e9c39c16	7ad41b75a5d120e270de737cefba70fd180e927d8e6868d7a4defcd7c8f97bb1
29	0	0	29	865	NODE1GEN_253145_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__406B4CA8AF64726B	d455ffb7994e8d0d84d0e761e08439fcc13a67e9185618d8fb8cae9d5db3d0cd	6497e49d4d03ccb7803f9294482238f0f00a90b7feb7ab3c4e65e992d687b533	2032b6bd7d1f119ef3db7f11e31b025e431c91d5710b40601fc200a7500f37e4
30	0	0	30	873	NODE1GEN_143057_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb119_mpn04_arm_P6_qrg_L_backbone_P6_qrg_L_bb119_status_NEEDS_RF2_AND_DOCKING	e42f91d59bf72341b8794f1418df68f2c703bf73a34415c8175a77ce5bda2b63	edc356d6bd0a12a874be428e76cc5abd73c97d834946447398845468ddca4274	ef9da60cb5133464a22a32161c6e998b21a604e2d297973713b5a27d83e19782
31	0	0	31	881	NODE1GEN_144639_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb254_mpn08_arm_P6_qrg_L_backbone_P6_qrg_L_bb254_status_NEEDS_RF2_AND_DOCKING	41eaa746b9a7db3cd7805b9e2175a10cdd2cd54d13178bf5ae11c8e352478863	6e806b09c4ab9dfac831329f56fafa713ccb9929aefa53cb067fa4659a4ad3a9	fd3c403801a1f30a50a92ccafa8564a3e4b2a35b2bc88155e538411839f0bbe1
32	0	0	32	889	NODE1GEN_166947_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__6694624C4718CA16	b8be582f0016de5ff74f4ecdeac2f1cb9d9fc17a49f10a193a366d7be7446ba6	987d260c25cc97c35888a164061a008481b53cfdc49a57fc9388374cf0035d3d	3c74100c10bdefb908bc1bf3191912bb9d57323e290369241cbf8c592197a082
33	0	0	33	897	NODE1GEN_062036_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qkg_L_bb318_mpn04_arm_P3_qkg_L_backbone_P3_qkg_L_bb318_status_NEEDS_RF2_AND_DOCKING	e2117e8605d0cbad8b9c3a988e27fb2408517c66c2bd662a2fd337cae2cc3792	304d6d65e60ce3f2495d4ae54b1f719efb790a62ccb40afdfaf5cbdda5ab06a1	976c04c6ede82fc006dc472ed43234bfaedf1854f93c9c2cf86cdacc7b5afdd0
34	0	0	34	905	NODE1GEN_067672_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qrg_L_bb085_mpn01_arm_P3_qrg_L_backbone_P3_qrg_L_bb085_status_NEEDS_RF2_AND_DOCKING	d42d1dec1519117d2940d890cfb138564af9c455cb928faa20b01506fd84352a	ad796dc677544ff1f0f06509e3a282c5763805d15862711d5a685fd1293ea0af	631ae467ccebf2b8cfbd322e7059ce99da55542f9b2bcfd8ebf7b51aff8f95c8
35	0	0	35	913	NODE1GEN_153588_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__B884C162AD086FE3	d2ef9f8afb22a5e39eb3eb9a4e0f7cb42f1571d1911dfc0dd6ed89b512258702	3a96111e2f2d796f110434245ebf5d07fd984570df8bf2cceb7b4dc281b042ea	29e48b47d958494a28c511e1a2cbcd8d3539d06ce0f5c35bd5241b04962ad19d
36	0	0	36	921	NODE1GEN_182585_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__454A191C844E66F8	b48994d83141c7883ef59f69ad63d5d9cada2967f94341959bee0c18342d2f3a	02d91e5d0d67b2b34a6a880a953d139e784033b48eba078030051fa478259a22	e71a599367a2317f20eec70f36d88b59babbebb454c2e2bd62dd04debe7016a8
37	0	0	37	929	NODE1GEN_153299_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__102AD37914FC556E	4db0a730f93f73be31b6f043d95637befbd2aa989eedd583c0511f8d6b52b96b	017eba8172e409e2650816ec01909d77a495dbe63e97879eaf45241fee74c7a8	03d735bdcd61708fa5e33e15d4a46c649986a5572afd7efa6e84b787a28b5c46
38	0	0	38	937	NODE1GEN_167979_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__0CB13C6120CC83F1	fd66b31eed321bfae9f1a6b544b64798553f5712a39fccb37a7b10785ea8d8ee	70993551899723165221e1dbcdc3794be82b1f07513fe06a5551e9be1f356162	dc10ded0cdb1f226bc16e38345279af591f71ffb75f472ed8d5d1bb7dce9090c
39	0	0	39	945	NODE1GEN_184522_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__90C3FD4378F288D2	e51aae9c4be0c09c5b39e2caff5e46a3c79a08bd450d43a1753a357e3483e55d	23ace4774cd36a909c39b4c2e5a2c28043617174ff40f4bd715dd7d0bb8bd198	b10fa9ae4a1719af3a1b4313768a70904a67917fceab159afc296fa154da7c73
40	0	0	40	953	NODE1GEN_236840_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__5FF2B505AFBFC86C	3dd68f23104ac517fb4550e5b3fee6152298153c822c384582dac71e39e3316e	b4d5af8392b766d411b3ec3331ac0b8bc5f3fdbcd188e5c64232d4e2bbd78cbe	c358d6c6c847ff74d94e58563daa632066343a5b8f2cb30dee693bd495c5b3d3
41	0	0	41	961	NODE1GEN_150294_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__A9292A6EBC500670	1b69cbff8062a30eead2878c23cec3dc1c8a98773d2bb0f2ffc5e8c05c7cd35a	7ac0c71c0e028f8595899e947809282ebc4571a4e41e60f0cf509eeac379f355	3a395ee70b70cde5f496a1dfaa1a106dd0213e168f8a03a77d7f772c6a5ee475
42	0	0	42	969	NODE1GEN_100928_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_ekg_L_bb075_mpn02_arm_P5_ekg_L_backbone_P5_ekg_L_bb075_status_NEEDS_RF2_AND_DOCKING	1cfeed30922c585d8fccbd15fe1450aae9b921ef968d77cabd98755e982e38bf	509d3ec809b148c3cacec2923fbaeaf89039e942f6571edfd8712dcd53db070e	4d61eacafdf72aeda1ef4561b84f1d904d85e0abf8c59b6aae5fad539dc001e6
43	0	0	43	977	NODE1GEN_119626_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qrg_L_bb254_mpn01_arm_P5_qrg_L_backbone_P5_qrg_L_bb254_status_NEEDS_RF2_AND_DOCKING	34451baefbc8e9578701b2e79e84f85ca41e6b091d6fbe036086e65f0dbf28c1	32f8e3930699d26cd51db34e741828399411289b309f611149f5609098f3e782	01dc8a22f4d21a83740d285a1a6ebde9e59d1b0ab19028c0bcbc59350d8bdb3f
44	0	0	44	985	NODE1GEN_093375_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qrg_L_bb145_mpn05_arm_P4_qrg_L_backbone_P4_qrg_L_bb145_status_NEEDS_RF2_AND_DOCKING	8104b140f3b2489b8213e8a294cb927fb8505ff6116bf81d295be8ffdab2e194	c4c4532c1e0f928a09500cf60d759d6b9075a9e174985d2f371ccf9f009c5090	28f7a977019f83d6380fc31fc96e825734d56d6854263e179c19c91ad5253b09
45	0	0	45	993	NODE1GEN_216498_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8BE34CEF668D2935	7630e1c0a754590f9f075b8e9f261e7315020cc14d5e48c89acd8f224b00638a	ec2018018ea017fad4789f22102e05ea7fd9e4dbd2fc1b2fe926f64ca55085a6	a3387d32203dd75acb7838828bc51d8405a7db750d63cf22d15aa08d57ba6b9a
46	0	0	46	1001	NODE1GEN_250493_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9C267D110D7A5625	f9ebb3cdc7af6ebf36d93a1813a5214e2b0f84b0d6fa03de0ad79c4f7cbf954c	71228e9435271ec6f9707e50f326cac95e2f5fc8bc4ff85564076bb639abb3a0	ab29963a6fe41d513a4cc0fd42c88bdeee27cf27a8e9f27a77773e7863d23c78
47	0	0	47	1009	NODE1GEN_169357_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8FFA4F8BF010BBA7	f522c67e248f2c409558d89ff406bb3bb2a25fc7c3335c5bad71f60cce05d2ea	25c0c21ccf88164d47672e32e7817220c8e09ef67af8d7e907280e72fbf7db88	49b8dd97a51d8414a70a5db0272bd90e6236133225c3727dc03516f297b68157
48	0	0	48	1017	NODE1GEN_067678_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qrg_L_bb085_mpn07_arm_P3_qrg_L_backbone_P3_qrg_L_bb085_status_NEEDS_RF2_AND_DOCKING	27417bdae2949b4caee4d365c54d4f3c3511b0d2ca3078e462214875aa02a974	e1873ba61d72d2fde655f66c2420722906dd3cd4af0213d518e9904fa4c07244	fb8882b4f627a0653d350dd99e8db9f361188c01d358227cf76c0b2d80010b2e
49	0	0	49	1025	NODE1GEN_019992_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qrg_L_bb282_mpn04_arm_P1_qrg_L_backbone_P1_qrg_L_bb282_status_NEEDS_RF2_AND_DOCKING	22103ff07cbb9d033b22c978d5c4b4c466268bb3af2efa52f573c5dfa8bfdabe	219c236b5b7d37ba123f9ff94cad177957c6193d9d74752807afadf55a7738a0	bcfe88cb17e9a340f0b22e8570617cefc18dbe049e6ce224adac83e48eeab77c
50	0	0	50	1033	NODE1GEN_183721_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__69557AF90FBF5170	0c7b6dff62dd625834570c383f8d372159a2f6b82f0f68a4ec47e7dcfc206b9d	30369b654e9a2822d5a8cebfab8a2e24dc8e34b0aeffe789f87bc8a48af246c7	fe2a1a9745240f1aecdcf3d08a432e4261711bdf290fee3afe0cae2af37c3ba0
51	0	0	51	1041	NODE1GEN_078043_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb259_mpn03_arm_P4_ekg_L_backbone_P4_ekg_L_bb259_status_NEEDS_RF2_AND_DOCKING	0fba3ea1b60f8f4151e28fcb8e26717dce9d0ef8151cb8a05545428107af27b5	5d9ab65c1b72742525bdfad926f3ba2261962c67bf2d63a3f45c3abb94c7c66f	a002b231546c1787b79f6dd320c273ccfe33f434ad5b23035423af63540cbf02
