candidate_id	job_count	seed_count	complete_seed_count	stage1_any_strict_dual_reference_job	stage1_any_broad_dual_reference_job	stage2_any_seed_dual_conformation_strict	stage2_any_seed_dual_conformation_broad	stage3_two_seed_dual_conformation_strict	stage3_two_seed_dual_conformation_broad	strict_seed_passes	broad_seed_passes
P1MCPUFP__CPUFP500K_0009__00086	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00089	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00109	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00116	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00125	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00133	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00143	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00156	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00166	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00174	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00178	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00184	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00190	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00199	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00268	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00275	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00282	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00288	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00296	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00299	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00309	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00343	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00358	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00395	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00396	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00412	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00423	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00426	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00445	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00461	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00475	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00480	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00486	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00491	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00497	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00510	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00515	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00548	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00563	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00592	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00607	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00609	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00638	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00653	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00675	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00720	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00724	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00760	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00774	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00789	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00824	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00853	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00858	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00889	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00904	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00907	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0009__00909	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0012__00592	4	2	2	True	True	False	True	False	True	0	2
P1MCPUFP__CPUFP500K_0013__00023	4	2	2	True	True	False	True	False	True	0	2
P1MCPUFP__CPUFP500K_0013__00194	4	2	2	True	True	False	True	False	True	0	2
P1MCPUFP__CPUFP500K_0018__00686	4	2	2	False	True	False	True	False	True	0	2
P1MCPUFP__CPUFP500K_0028__00114	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0028__00388	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0028__00650	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0028__00698	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0028__00795	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0029__00193	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0082__00919	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00012	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00044	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00054	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00066	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00087	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00102	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00204	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00257	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00267	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00278	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00282	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00301	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00309	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00367	4	2	2	True	True	True	True	False	True	1	2
P1MCPUFP__CPUFP500K_0083__00409	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00422	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0083__00423	4	2	2	True	True	True	True	True	True	2	2
