candidate_id	pose_name	pdb_path	pdb_sha256	antigen_chain	vhh_chain
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose03__cluster_2_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose03__cluster_2_model_1.pdb	9569d4b57f51b60ffb693ef6e3d68b98ae9ed5edb0b4fc761f6f25462af41565	A	B
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose04__cluster_3_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose04__cluster_3_model_1.pdb	f2b3ab4527716e6afc9be0fd410a31d8f50079456f9b1f15f6d28ad387ae6fa4	A	B
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose05__cluster_4_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose05__cluster_4_model_1.pdb	035e3db0d567ecd50a4f521f7907e4ad4bfd89d93c6f36bb737359aa8cee360a	A	B
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose06__cluster_4_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose06__cluster_4_model_2.pdb	acbb75b34a5cfdbfa926b152efd4e86fa68749163c5d6f83ef6609ea5640c7e2	A	B
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose07__cluster_5_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose07__cluster_5_model_1.pdb	cc8e09548f7007395fa8e32962c2150a5572e2aea80018fb13cffad5bf6aa2ff	A	B
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose08__cluster_5_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose08__cluster_5_model_2.pdb	8830c5df3e78d2c8246cf0062e3fbd51d22b9f55506f84c1b1b634e27a9b46e1	A	B
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose09__cluster_6_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose09__cluster_6_model_1.pdb	d62d1fe4c30760acdb6c0ad93b495a68acbc7bec4a386b2d6c0c85e74d055223	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose01__cluster_1_model_1.pdb	21b215139f062a702f9d10820cd9c0fb1085b405d99dca756e8a87d665aa5bbb	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose02__cluster_2_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose02__cluster_2_model_1.pdb	cbac7e616aef659c7a77121a32c22c02efd0b35346bd4ea6d7343d1e0e77f036	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose03__cluster_2_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose03__cluster_2_model_2.pdb	02037f1eafad04626c060d120ad42dcf65fb35f1759d88af9e5d71fcc583c7f7	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose04__cluster_2_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose04__cluster_2_model_3.pdb	68f6a2334d0e509728d8d17b3bd215f521afaf84cb15f8fe63bd65688f7d810f	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose05__cluster_3_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose05__cluster_3_model_1.pdb	ecafb6ac841caec7dfe74d1a2bc93e038994071204ae2f9f00da5c3e47611db8	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose06__cluster_4_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose06__cluster_4_model_1.pdb	4d3a8fbab83c149545df37d495fca28ffaa2feee8436da41c3df16c9108dfb49	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose07__cluster_5_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose07__cluster_5_model_1.pdb	6306f484f4f20124f246759b6e4e86cd380ab0498ba9ab3c5ecc781f96a71b68	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose08__cluster_6_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose08__cluster_6_model_1.pdb	72fe860e4909a663176d7bb65d4b4fe7ca357bd7e4b0ed3990c26dd3a2a00972	A	B
case02_pos_04_PVRIG-38	case02_pos_04_PVRIG-38__pose09__cluster_7_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_04_PVRIG-38__pose09__cluster_7_model_1.pdb	d75eff43589ebd5f44719305b4e57afe2049154a4713de1a0e888a39b5ef750e	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose01__cluster_1_model_1.pdb	2d22994639854276cb1132dedcb21de1a734000b1144fc7545615136ed0edf08	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose02__cluster_1_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose02__cluster_1_model_2.pdb	d4e8b6d4c2ee24b5e989d14e688e128ed7a930ca58f86d0348f18dd0c229122c	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose03__cluster_1_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose03__cluster_1_model_3.pdb	b6ac61ae6892f54c14bcbb0a9c7da59e2530aacb97b666e399abac6c66848c2e	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose04__cluster_1_model_4	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose04__cluster_1_model_4.pdb	0bc31b115f5116894737fd740a6be78a8cc12aa8011ad2541cc3df1374a54470	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose05__cluster_1_model_5	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose05__cluster_1_model_5.pdb	964c584431cc0eaae7bc7ef50c9d20973f98f8fab2fce0a798ab367ebfd84745	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose06__cluster_1_model_6	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose06__cluster_1_model_6.pdb	7af25fb53077a9652cae084676ace6495e954649c218852ef5c6930e06936958	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose07__cluster_1_model_7	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose07__cluster_1_model_7.pdb	995a0d6e2aec4820b69a57be3a3270c0b4c0a7d41adbf8ba2b40778d575a6d86	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose08__cluster_1_model_8	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose08__cluster_1_model_8.pdb	3366c2ce5b92b6a1b7aacdc76cb611b0946c62fa4904b5936eac676ee131080f	A	B
case02_pos_05_PVRIG-39	case02_pos_05_PVRIG-39__pose09__cluster_1_model_9	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_05_PVRIG-39__pose09__cluster_1_model_9.pdb	f4e9df66535820d7b12a8237fde93350ce810dc9da52930e5a2248bb3b339f60	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose01__cluster_1_model_1.pdb	e154fd6dbc70db87efbd004d2b0f08251255ee544b219e08ab30cad0fea1be4f	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose02__cluster_1_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose02__cluster_1_model_2.pdb	5cf9f47cb73c753c7ce1d7c384d684e7e3dacbae342f8f1669966eb85ded8f3f	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose03__cluster_1_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose03__cluster_1_model_3.pdb	9219d11d8df7fcbbb372d2f7081de827089c713a350765c270a30aa06061c090	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose04__cluster_1_model_4	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose04__cluster_1_model_4.pdb	b0b5cdc2815ceaf43cabd717a8ef694046773d7017f91aeb301f9906c63aedef	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose05__cluster_1_model_5	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose05__cluster_1_model_5.pdb	9e5a9cc9b617963273ad4c0d451ccc3b4015e20890e31bb3359c04febde7b358	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose06__cluster_1_model_6	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose06__cluster_1_model_6.pdb	6aef20970b66a57a0bd847f7630bf63ccdc4c19759d33af4509e3b64881b2c81	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose07__cluster_1_model_7	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose07__cluster_1_model_7.pdb	0fe21a4eb46deaff4e61e0ce5be631b48bdd8f2ecab764deaaf7416143c6d799	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose08__cluster_2_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose08__cluster_2_model_1.pdb	aac5ab624fde1bd1add6d7670293441a36e7630f3ebd426fd48b94e6c1992910	A	B
case02_pos_06_20H5	case02_pos_06_20H5__pose09__cluster_3_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_06_20H5__pose09__cluster_3_model_1.pdb	3c127b35fc594f4f9c53133f7bafdb8217da8cb8463bc11af08de28777d1272b	A	B
case02_pos_07_30H2	case02_pos_07_30H2__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose01__cluster_1_model_1.pdb	16d3961d52699b03ecb8484aaea98361a90cadddbae264a4829b3293cf79202f	A	B
case02_pos_07_30H2	case02_pos_07_30H2__pose02__cluster_2_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose02__cluster_2_model_1.pdb	7bbd43e0f5b152a2274dee2a9ee2279644425e98a9c455236ee6d3da1e36535d	A	B
