Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0056__00175	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00178	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00178	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00179	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00196	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00696	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00182	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00183	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00185	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00230	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00241	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00187	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00187	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00188	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00190	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00225	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00192	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00194	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00589	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00703	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00216	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00728	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00387	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00126	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00234	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00712	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00221	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00201	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00207	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00206	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00204	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00206	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00207	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00207	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00210	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00211	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00211	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00228	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00834	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00215	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00216	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00218	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00270	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00283	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00219	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00219	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00220	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00222	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00262	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00225	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00227	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00661	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00867	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00252	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00937	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00452	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00185	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00272	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00796	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00255	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00233	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00240	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00238	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00236	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00238	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00239	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00239	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00242	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00243	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00243	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00261	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00011	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00247	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00248	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00250	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00318	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00327	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00251	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00251	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00252	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00254	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00300	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00258	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00259	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00745	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00031	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00286	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00170	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00509	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00254	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00313	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00875	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00293	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00265	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00273	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00270	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00268	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00270	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00273	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00271	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00275	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00276	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00275	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00296	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00043	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00279	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00280	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00286	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00359	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00364	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00285	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00283	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00284	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00286	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00339	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00292	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00291	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00819	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00078	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00324	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00312	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00579	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00312	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00352	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0083__00020	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00326	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00297	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00306	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00303	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00300	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00302	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00308	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00303	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00308	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00308	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00307	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00330	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00075	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00311	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00312	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00318	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00397	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00409	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00320	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00315	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00316	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00318	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00374	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00324	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00323	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00898	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00130	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00362	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00476	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00641	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00394	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00387	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0083__00087	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00364	pvrig_8x6b_chainB
